Scientific_Name,Aquatic_Classification
Oncorhynchus mykiss,freshwater
Bombina orientalis,freshwater
Coregonus clupeaformis,freshwater
Placopecten magellanicus,marine
Schizothorax prenanti,freshwater
Trachemys scripta,freshwater
Palaemon pugio,marine
Palaemon vulgaris,marine
Carassius auratus,freshwater
Pimephales notatus,freshwater
Micropterus dolomieu,freshwater
Cyprinella spiloptera,freshwater
Catostomus commersonii,freshwater
Ictalurus punctatus,freshwater
Clinostomus funduloides,freshwater
Sander vitreus,freshwater
Ichthyosaura alpestris,freshwater
Cellana tramoserica,marine
Mytilus edulis,marine
Limnodynastes peronii,freshwater
Limnodynastes tasmaniensis,freshwater
Limnodynastes ornatus,freshwater
Acipenser medirostris,freshwater
Daphnia magna,freshwater
Chelydra serpentina,freshwater
Calyptocephallela gayi,freshwater
Mytilus trossulus,marine
Danio rerio,freshwater
Daphnia parvula,freshwater
Lymnaea stagnalis,freshwater
Pelodiscus sinensis,freshwater
Pimephales promelas,freshwater
Apostichopus japonicus,marine
Leuciscus leuciscus,freshwater
Leuciscus idus,freshwater
Squalius cephalus,freshwater
Oncorhynchus kisutch,freshwater
Penaeus chinensis,marine
Chydorus sphaericus,freshwater
Osphronemus goramy,freshwater
Nothobranchius furzeri,freshwater
Oryzias latipes,freshwater
Asellus aquaticus,freshwater
Pocillopora damicornis,marine
Chrysemys picta,freshwater
Apalone mutica,freshwater
Perca flavescens,freshwater
Neomysis integer,marine
