Study_ID,Species_ID,Coordinates,Latitude_DD,Classification
6,1,"33.239 S, 70.319 W",-33.239,Temperate
7,1,"(48.087°N, 7.697°E), (48.099°N, 7.582°E), (47.975°N, 7.893°E)",48.087,Temperate
7,2,"(48.087°N, 7.697°E), (48.090°N, 7.694°E),(48.004°N, 7.752°E)",48.087,Temperate
8,1,"(57°15012.14”N ,- 10°54019.75”E), (55°39009.80”N, - 12°08001.68”E),  (55°4405.4”N, - 13°9013.4”E)",55.734833,Temperate
11,1,"N 44.3774, W 81.3994",44.3774,Temperate
13,1,"29.602199, –81.196211",29.602199,Temperate
14,1,"33°05′S, 70°55′W",-35.0833,Temperate
14,2,"33°05′S, 70°55′W",-35.0833,Temperate
24,1,"41.157, 76.136",41.157,Temperate
24,3,"41.157, 76.136",41.157,Temperate
24,4,"41.157, 76.136",41.157,Temperate
24,6,"41.157, 76.136",41.157,Temperate
24,7,"40.258, 75.737",40.258,Temperate
24,8,"41.157, 76.136",41.157,Temperate
24,9,"41.592, 80.515",41.592,Temperate
24,10,"41.157, 76.136",41.157,Temperate
29,1,"44.55, 81.8",44.55,Temperate
32,1," -33.383333, -70.516667",-33.383333,Temperate
32,2," -31.016667, -71.533333",-31.016667,Temperate
33,1," 49.40, 15.59",49.4,Temperate
35,1,"33°32′38ʺS, 151°18′01ʺE ",-33.543889,Temperate
37,1,"27°30′ S, 152°59′ E",-27.5,Temperate
37,2,"27°19′ S, 151°05′ E",-27.316667,Temperate
37,3,"27°19′ S, 151°05′ E",-27.316667,Temperate
44,1,"46°54'S, 37°45'E",-46.9,Temperate
46,1,"45.83728N, 78.37918W",45.83728,Temperate
47,1,"33°23'S, 70°31'W",-33.383333,Temperate
48,1,"(43°37′56.77″N; 4°46′58.20″E), (44°08′56″N; 4°51′17″E), (43°28′1.85″N; 5°19′35.51″E)",43.467181,Temperate
48,2,"(55°44′5.4″N; 13°9′13.4″E), (57°15′12.14″N; 10°54′19.75″E), (55°39′09.80″N; 12°08′01.68″E)",55.734833,Temperate
50,1,"55.85, 9.23",55.85,Temperate
51,1,"44.976, 4.935",44.976,Temperate
52,1,"49.3984, 15.5870",49.3984,Temperate
56,1,"49.291, -122.883",49.291,Temperate
56,2,"49.151, -125.897",49.151,Temperate
62,1,SP0483,52.44495,Temperate
62,2,SP0483,52.44495,Temperate
62,3,SP0483,52.44495,Temperate
62,4,SP0483,52.44495,Temperate
71,2,"46.152338, -95.608560",46.152338,Temperate
72,1,"44.565403329044194, -76.32392759966426",44.56540333,Temperate
83,1,"36º49'N, 140º60'E",36.816667,Temperate
89,1,"44º01'47.136""N, 79º32'0.4662""W",44.02976,Temperate
93,1,"49.8728N, 8.6512E",49.8728,Temperate
96,1,"33.4002S, 70.5059W",-33.4002,Temperate
104,2,"35.50,-77.37",35.5,Temperate
106,1,"50.88, 4.7",50.88,Temperate
108,1,"28.23,112.94",28.23,Temperate
109,1,"43.82, 143.87",43.82,Temperate
110,1,"18.25, 109.5",18.25,Tropical
111,1,"28.45, 119.92",28.45,Temperate
119,1,"43º28'11.1""N, 05º19'44.1""E; 43º43'52.5""N, 05º44'53.0""E; 43º37'57.8""N, 04º46'55.1""E",43.632722,Temperate
119,2,"55º39'09.8""N, 12º08'01.7""E; 57º14'24.3""N, 12º08'28.2""E; 56º40'04.6""N, 16º17'46.5""E",56.667944,Temperate
120,1,"33º26'S, 70º39'W",-33.433333,Temperate
124,1,"44.271647 N, 11.04686 E ",44.271647,Temperate
127,1,33.26'S; 70.39'W,-33.26,Temperate
130,1,"46°54′S, 37°45′E",-46.9,Temperate
132,1,"28°S, 145°E",28,Temperate
134,1,"40.529, -89.858",40.529,Temperate
139,1,"54.097495, 13.455123",54.097495,Temperate
143,1,"59.839142 N, 17.730666 E",59.839142,Temperate
